# BEAST v1.9.0pre20161204 Prerelease #5657174
# Generated Tue Feb 21 14:19:07 GMT 2017 [seed=666]
# -seed 666 -beagle_cuda -beagle_double -beagle_order 1 -threshold 0.1 metazoan.xml
state	posterior	prior	likelihood	treeModel.rootHeight	yule.birthRate	alpha	clock.rate	meanRate	treeLikelihood	branchRates	speciation
380000	-854098.963968808	-186.87317522678853	-853912.0907935812	0.3319825358185306	6.221582988441853	0.4874678707970399	1.0	1.0	-853912.0907935812	0.0	43.667122633650195
385000	-854101.8342592723	-187.82125440848432	-853914.0130048639	0.33283430617807036	4.950876177193044	0.48785884151574593	1.0	1.0	-853914.0130048639	0.0	42.7198253933918
390000	-854108.1513935165	-188.0901549474558	-853920.061238569	0.331622030548373	4.741546686647026	0.4869560274759377	1.0	1.0	-853920.061238569	0.0	42.4491192263407
395000	-854104.3018604841	-186.57383889182813	-853917.7280215923	0.33069251204230227	6.6112862636033505	0.4897849658304557	1.0	1.0	-853917.7280215923	0.0	43.971093158677405
400000	-854101.2773118949	-187.05146730600268	-853914.225844589	0.3305813932205309	7.148115235010617	0.48867520322993785	1.0	1.0	-853914.225844589	0.0	43.491245219301845
405000	-854102.6798771326	-187.63136462110538	-853915.0485125115	0.33508617891313824	7.397952202496484	0.49046423081384294	1.0	1.0	-853915.0485125115	0.0	42.914925959366954
410000	-854110.2832003536	-186.7357655253302	-853923.5474348282	0.3345634759609687	6.402971008929645	0.48768934854269097	1.0	1.0	-853923.5474348282	0.0	43.8049752905998
415000	-854112.085669761	-187.1930777110087	-853924.89259205	0.33208329032530043	7.13592809218723	0.4852292381514416	1.0	1.0	-853924.89259205	0.0	43.34274288413883
420000	-854108.9679044003	-186.59480876242213	-853922.3730956379	0.3292683448190871	5.994973335479207	0.4839335774771179	1.0	1.0	-853922.3730956379	0.0	43.938420511376734
425000	-854101.1936189843	-186.46452815938596	-853914.729090825	0.329779403958992	5.888948867731463	0.48462938750878065	1.0	1.0	-853914.729090825	0.0	44.070092734476226
430000	-854101.4280886617	-186.35596320281016	-853915.072125459	0.32836481444109583	6.006285006045015	0.4832741258119074	1.0	1.0	-853915.072125459	0.0	44.17594716765828
